Uganda,Tanzania,Senegal,Nigeria,Rwanda,Mali,Benin,Togo,Algeria,Angola,Botswana,BurkinaFaso,Burundi,Cameroon,CentralAfricanRepublic,Chad,Comoros,RepublicoftheCongo,DemocraticRepublicoftheCongo,Djibouti,Egypt,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,SierraLeone,Somalia,SouthAfrica,SouthSudan,Sudan,Tunisia,Zambia,Zimbabwe
Adjumani,Arusha,Dakar,Abia,Amajyaruguru,Bamako,Alibori,Centre,Adrar,Bengo,Central,BoucleduMouhoun,Bubanza,Adamaoua,Bamingui-Bangoran,BarhelGhazel,Mwali,Bouenza,Bas-Uele,AliSabieh,AdDaqahliyah,AddisAbeba,Estuaire,Banjul,Ahafo,Boké,Bafatá,Baringo,Berea,Bomi,AlButnan,Antananarivo,Balaka,Adrar,AgalegaIslands,Chaouia-Ouardigha,CaboDelgado,!Karas,Agadez,Eastern,Awdal,EasternCape,CentralEquatoria,AlJazirah,Ariana,Central,Bulawayo
Apac,DaresSalaam,Diourbel,Adamawa,Amajyepfo,Gao,Atakora,Kara,AïnDefla,Benguela,Chobe,Cascades,BujumburaMairie,Centre,Bangui,Batha,Njazídja,Brazzaville,Équateur,Arta,AlBahralAhmar,Afar,Haut-Ogooué,LowerRiver,Ashanti,Conakry,Biombo,Bomet,Butha-Buthe,Bong,AlJabalalAkhdar,Antsiranana,Blantyre,Assaba,BlackRiver,Doukkala-Abda,Gaza,Erongo,Diffa,Northern,Bakool,FreeState,EasternEquatoria,AlQadarif,Béja,Copperbelt,Harare
Arua,Dodoma,Fatick,AkwaIbom,Iburasirazuba,Kayes,Atlantique,Maritime,AïnTémouchent,Bié,Francistown,Centre,BujumburaRural,Est,Basse-Kotto,Borkou,Nzwani,Cuvette,Haut-Katanga,Dikhil,AlBuhayrah,Amhara,Moyen-Ogooué,MaccarthyIsland,Bono,Faranah,Bissau,Bungoma,Leribe,Gbapolu,AlJabalalGharbi,Fianarantsoa,Chikwawa,Brakna,Flacq,Fès-Boulemane,Inhambane,Hardap,Dosso,Southern,Banaadir,Gauteng,Jungoli,BlueNile,BenArous(TunisSud),Eastern,Manicaland
Bugiri,Geita,Kaffrine,Anambra,Iburengerazuba,Kidal,Borgou,Plateaux,Alger,Cabinda,Gaborone,Centre-Est,Bururi,Extrême-Nord,Haut-Mbomou,Chari-Baguirmi,,Cuvette-Ouest,Haut-Lomami,Djiboutii,AlFayyum,Benshangul-Gumaz,Ngounié,NorthBank,BonoEast,Kankan,Bolama,Busia,Mafeteng,GrandBassa,AlJifarah,Mahajanga,Chiradzulu,DakhletNouadhibou,GrandPort,Gharb-Chrarda-BéniHssen,Manica,Kavango,Maradi,Western,Bari,KwaZulu-Natal,Lakes,CentralDarfur,Bizerte,Luapula,MashonalandCentral
Bundibugyo,Iringa,Kaolack,Bauchi,UmujyiwaKigali,Koulikoro,Collines,Savanes,Annaba,CuandoCubango,Ghanzi,Centre-Nord,Cankuzo,Littoral,Haute-Kotto,EnnediEst,,Kouilou,Haut-Uele,Obock,AlGharbiyah,DireDawa,Nyanga,UpperRiver,Central,Kindia,Cacheu,Elgeyo-Marakwet,Maseru,GrandCapeMount,AlJufrah,Toamasina,Chitipa,Gorgol,Moka,GrandCasablanca,Maputo,Khomas,Niamey,,Bay,Limpopo,NorthBahr-al-Ghazal,EastDarfur,Gabès,Lusaka,MashonalandEast
Bushenyi,Kagera,Kédougou,Bayelsa,,Mopti,Donga,,Batna,CuanzaNorte,Jwaneng,Centre-Ouest,Cibitoke,Nord,Kémo,EnnediOuest,,Lékoumou,Ituri,Tadjoura,AlIskandariyah,GambelaPeoples,Ogooué-Ivindo,Western,Eastern,Labé,Gabú,Embu,Mohale'sHoek,GrandGedeh,AlKufrah,Toliary,Dedza,Guidimaka,Pamplemousses,Guelmim-Es-Semara,MaputoCity,Kunene,Tahoua,,Galguduud,Mpumalanga,Unity,Kassala,Gafsa,Muchinga,MashonalandWest
Busia,KaskaziniPemba,Kolda,Benue,,Ségou,Kouffo,,Béchar,CuanzaSul,Kgalagadi,Centre-Sud,Gitega,Nord-Ouest,Lobaye,Guéra,,Likouala,Kasaï,,AlIsma`iliyah,HarariPeople,Ogooué-Lolo,,GreaterAccra,Mamou,Oio,Garissa,Mokhotlong,GrandKru,AlMarj,,Dowa,HodhechChargui,PlainesWilhems,Laâyoune-Boujdour-SakiaElH,Nampula,Ohangwena,Tillabéry,,Gedo,NorthWest,UpperNile,Khartoum,Jendouba,North-Western,Masvingo
Gulu,KaskaziniUnguja,Louga,Borno,,Sikasso,Littoral,,Béjaïa,Cunene,Kgatleng,Est,Karuzi,Ouest,Mambéré-Kadéï,Hadjer-Lamis,,Niari,Kasaï-Central,,AlJizah,Oromia,Ogooué-Maritime,,NorthEast,Nzérékoré,Quinara,HomaBay,Qacha'sNek,Lofa,AlMarqab,,Karonga,HodhelGharbi,PortLouis,Marrakech-Tensift-AlHaouz,Nassa,Omaheke,Zinder,,Hiiraan,NorthernCape,Warap,NorthDarfur,Kairouan,Northern,MatabelelandNorth
Hoima,Katavi,Matam,CrossRiver,,Timbuktu,Mono,,Biskra,Huambo,Kweneng,Haut-Bassins,Kayanza,Sud,Mbomou,Kanem,,Plateaux,Kasaï-Oriental,,AlMinufiyah,Somali,Wouleu-Ntem,,Northern,,Tombali,Isiolo,Quthing,Margibi,AlWahat,,Kasungu,Inchiri,RivièreduRempart,Meknès-Tafilalet,Sofala,Omusati,,,JubbadaDhexe,WesternCape,WestBahr-al-Ghazal,NorthKurdufan,Kassérine,Southern,MatabelelandSouth
Iganga,Kigoma,Saint-Louis,Delta,,,Ouémé,,Blida,Huíla,Lobatse,Nord,Kirundo,Sud-Ouest,Nana-Grébizi,Lac,,PointeNoire,Kinshasa,,AlMinya,"SouthernNations,Nationalities",,,Oti,,,Kajiado,Thaba-Tseka,Maryland,AnNuqatalKhams,,Likoma,Nouakchott,Rodriguez,Oriental,Tete,Oshana,,,JubbadaHoose,,WestEquatoria,Northern,Kebili,Western,Midlands
